semantic_class,target,seed,n_test_pos_used,top10_features,dominant_feature
DoS,ToN,58,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT;MIN_TTL;DNS_QUERY_TYPE;DNS_TTL_ANSWER;IN_PKTS;L4_SRC_PORT;MIN_IP_PKT_LEN;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,59,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT;MIN_TTL;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_PKTS;L4_SRC_PORT;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,60,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT;MIN_TTL;DNS_TTL_ANSWER;L4_SRC_PORT;DNS_QUERY_ID;NUM_PKTS_UP_TO_128_BYTES;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,61,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;IN_PKTS;SRC_TO_DST_AVG_THROUGHPUT;DNS_TTL_ANSWER;DST_TO_SRC_AVG_THROUGHPUT;L4_SRC_PORT;DNS_QUERY_ID,TCP_WIN_MAX_IN
DoS,ToN,62,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;DNS_TTL_ANSWER;MIN_TTL;IN_PKTS;OUT_BYTES;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,63,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;IN_PKTS;DNS_QUERY_ID;L4_SRC_PORT;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,64,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;DNS_TTL_ANSWER;DNS_QUERY_ID;L4_SRC_PORT;IN_PKTS;SHORTEST_FLOW_PKT,TCP_WIN_MAX_IN
DoS,ToN,65,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_PKTS;DST_TO_SRC_AVG_THROUGHPUT;L4_SRC_PORT;MAX_TTL,TCP_WIN_MAX_IN
DoS,ToN,66,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;SRC_TO_DST_AVG_THROUGHPUT;DST_TO_SRC_AVG_THROUGHPUT;L4_SRC_PORT;MIN_IP_PKT_LEN,TCP_WIN_MAX_IN
DoS,ToN,67,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;DNS_QUERY_ID;SRC_TO_DST_AVG_THROUGHPUT;L4_SRC_PORT;SRC_TO_DST_SECOND_BYTES,TCP_WIN_MAX_IN
DoS,ToN,68,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;SRC_TO_DST_AVG_THROUGHPUT;SHORTEST_FLOW_PKT;DNS_QUERY_ID;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,69,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;DNS_TTL_ANSWER;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID;L4_SRC_PORT;NUM_PKTS_UP_TO_128_BYTES;SHORTEST_FLOW_PKT,TCP_WIN_MAX_IN
DoS,ToN,70,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;DNS_QUERY_ID;SRC_TO_DST_AVG_THROUGHPUT;MIN_IP_PKT_LEN;IN_BYTES,TCP_WIN_MAX_IN
DoS,ToN,71,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;MIN_IP_PKT_LEN;DST_TO_SRC_AVG_THROUGHPUT;IN_PKTS;DNS_QUERY_ID,TCP_WIN_MAX_IN
DoS,BoT,42,3000,NUM_PKTS_UP_TO_128_BYTES;IN_BYTES;L4_SRC_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS;NUM_PKTS_128_TO_256_BYTES;SRC_TO_DST_SECOND_BYTES;SRC_TO_DST_AVG_THROUGHPUT;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT,NUM_PKTS_UP_TO_128_BYTES
