semantic_class,target,source,condition,env_same,seed,f1,auc_roc
DoS,ToN,—,Full-40,True,44,0.90092,0.997983
DoS,ToN,ToN,Target-10,True,44,0.901188,0.997904
DoS,ToN,UNSW,SHAP-10,False,44,0.897046,0.997874
DoS,ToN,CIC,SHAP-10,False,44,0.89665,0.99786
DoS,ToN,BoT,SHAP-10,True,44,0.847792,0.997316
DoS,ToN,Random,Random-10,True,44,0.83317,0.996512
DoS,ToN,—,Full-40,True,45,0.895491,0.997858
DoS,ToN,ToN,Target-10,True,45,0.895383,0.997866
DoS,ToN,UNSW,SHAP-10,False,45,0.893467,0.997696
DoS,ToN,CIC,SHAP-10,False,45,0.892603,0.997748
DoS,ToN,BoT,SHAP-10,True,45,0.83618,0.997125
DoS,ToN,Random,Random-10,True,45,0.725856,0.979682
DoS,ToN,—,Full-40,True,46,0.895819,0.997706
DoS,ToN,ToN,Target-10,True,46,0.895244,0.997715
DoS,ToN,UNSW,SHAP-10,False,46,0.891566,0.997746
DoS,ToN,CIC,SHAP-10,False,46,0.889802,0.997705
DoS,ToN,BoT,SHAP-10,True,46,0.836859,0.997173
DoS,ToN,Random,Random-10,True,46,0.863729,0.995808
DoS,ToN,—,Full-40,True,47,0.898342,0.99809
DoS,ToN,ToN,Target-10,True,47,0.898667,0.99807
DoS,ToN,UNSW,SHAP-10,False,47,0.89395,0.99798
DoS,ToN,CIC,SHAP-10,False,47,0.892056,0.998032
DoS,ToN,BoT,SHAP-10,True,47,0.843981,0.997538
DoS,ToN,Random,Random-10,True,47,0.892584,0.997971
DoS,ToN,—,Full-40,True,48,0.897395,0.997831
DoS,ToN,ToN,Target-10,True,48,0.897031,0.997823
DoS,ToN,UNSW,SHAP-10,False,48,0.89386,0.997754
DoS,ToN,CIC,SHAP-10,False,48,0.893205,0.997758
DoS,ToN,BoT,SHAP-10,True,48,0.839269,0.997231
DoS,ToN,Random,Random-10,True,48,0.893361,0.997792
DoS,ToN,—,Full-40,True,49,0.897475,0.997743
DoS,ToN,ToN,Target-10,True,49,0.897777,0.997774
DoS,ToN,UNSW,SHAP-10,False,49,0.894291,0.997684
DoS,ToN,CIC,SHAP-10,False,49,0.892825,0.997669
DoS,ToN,BoT,SHAP-10,True,49,0.840846,0.997161
DoS,ToN,Random,Random-10,True,49,0.888607,0.997405
DoS,ToN,—,Full-40,True,50,0.900501,0.998051
DoS,ToN,ToN,Target-10,True,50,0.899121,0.998027
DoS,ToN,UNSW,SHAP-10,False,50,0.894156,0.998014
DoS,ToN,CIC,SHAP-10,False,50,0.892616,0.998019
DoS,ToN,BoT,SHAP-10,True,50,0.840797,0.99738
DoS,ToN,Random,Random-10,True,50,0.893732,0.997975
DoS,ToN,—,Full-40,True,51,0.899167,0.997974
DoS,ToN,ToN,Target-10,True,51,0.898713,0.997954
DoS,ToN,UNSW,SHAP-10,False,51,0.895215,0.997872
DoS,ToN,CIC,SHAP-10,False,51,0.893272,0.997899
DoS,ToN,BoT,SHAP-10,True,51,0.843375,0.997375
DoS,ToN,Random,Random-10,True,51,0.892216,0.997658
DoS,ToN,—,Full-40,True,52,0.903177,0.997966
DoS,ToN,ToN,Target-10,True,52,0.901991,0.997896
DoS,ToN,UNSW,SHAP-10,False,52,0.896951,0.997904
DoS,ToN,CIC,SHAP-10,False,52,0.895675,0.997895
DoS,ToN,BoT,SHAP-10,True,52,0.842366,0.997304
DoS,ToN,Random,Random-10,True,52,0.898452,0.997879
DoS,ToN,—,Full-40,True,53,0.898058,0.998017
DoS,ToN,ToN,Target-10,True,53,0.89775,0.998061
DoS,ToN,UNSW,SHAP-10,False,53,0.894796,0.997776
DoS,ToN,CIC,SHAP-10,False,53,0.892718,0.997901
DoS,ToN,BoT,SHAP-10,True,53,0.837481,0.997125
DoS,ToN,Random,Random-10,True,53,0.893055,0.997786
DoS,ToN,—,Full-40,True,54,0.903717,0.997987
DoS,ToN,ToN,Target-10,True,54,0.904962,0.997948
DoS,ToN,UNSW,SHAP-10,False,54,0.900242,0.997806
DoS,ToN,CIC,SHAP-10,False,54,0.898875,0.997849
